Date,TTWO,AAPL,HSBA.L,SPY
2023-08-25,141.4199981689453,178.61000061035156,739.1349726501466,439.9700012207031
2023-08-28,140.8000030517578,180.19000244140625,740.6044726196288,442.760009765625
2023-08-29,141.38999938964844,184.1199951171875,753.1435254333496,449.1600036621094
2023-08-30,141.8300018310547,187.64999389648438,751.2522755249024,451.010009765625
2023-08-31,142.1999969482422,187.8699951171875,738.8751340637207,450.3500061035156
2023-09-01,141.8300018310547,189.4600067138672,740.4108326367187,451.19000244140625
2023-09-04,141.8300018310547,189.4600067138672,739.6544965869141,451.19000244140625
2023-09-05,141.17999267578125,189.6999969482422,738.1878750000001,449.239990234375
2023-09-06,140.97000122070312,182.91000366210938,731.6074257415771,446.2200012207031
2023-09-07,142.22999572753906,177.55999755859375,729.1793852233887,444.8500061035156
2023-09-08,142.77000427246094,178.17999267578125,728.4546304321289,445.5199890136719
